episode,regime,protocol,method,iterations,converged,inner_success,objective,calls,scale_hat,floor_hit,movement_prior_units
0bd0536d0cd3fd9ffe733649,setup_translation,bounce,huber,3,True,True,0.621402490454082,13,0.125,False,0.00073693176273188
0bd0536d0cd3fd9ffe733649,setup_translation,bounce,cauchy,5,True,True,0.6213399571089797,39,0.125,False,0.0007370580099552238
0bd0536d0cd3fd9ffe733649,setup_translation,bounce,profile_map,10,True,True,-26.025938051110902,117,0.03739693214597054,False,0.0006880806923599658
0c12707c05f72159da5135d0,generalized_translation,bounce,huber,3,True,True,0.558956696248128,16,0.125,False,6.786102314947963e-10
0c12707c05f72159da5135d0,generalized_translation,bounce,cauchy,4,True,True,0.5589393222755842,20,0.125,False,1.9745204096478892e-07
0c12707c05f72159da5135d0,generalized_translation,bounce,profile_map,32,True,True,-29.30928672766996,320,0.024366823171345024,False,3.859856697085892e-05
0c12707c05f72159da5135d0,setup_translation,bounce,huber,3,True,True,0.6272853483176252,20,0.125,False,1.849253126618943e-12
0c12707c05f72159da5135d0,setup_translation,bounce,cauchy,4,True,True,0.6272462831085847,22,0.125,False,1.6640502770549181e-07
0c12707c05f72159da5135d0,setup_translation,bounce,profile_map,15,True,True,-27.837050741607033,156,0.02928746728777887,False,3.304907795939209e-05
0c6ee32f98a6c7cf18290659,generalized_translation,unforced_slide,huber,2,True,True,0.4763951574901069,13,0.125,False,6.233782625087417e-09
0c6ee32f98a6c7cf18290659,generalized_translation,unforced_slide,cauchy,4,True,True,0.4762771369532613,21,0.125,False,1.2254420088241204e-06
0c6ee32f98a6c7cf18290659,generalized_translation,unforced_slide,profile_map,24,True,True,-25.362671538477983,200,0.04184163789896889,False,0.00023492567748620207
0c7a80b63187427d2a17541a,generalized_translation,bounce,huber,3,True,True,1.846091970568531,13,0.125,False,0.024589706217114326
0c7a80b63187427d2a17541a,generalized_translation,bounce,cauchy,5,True,True,1.8449875127439728,33,0.125,False,0.02459532458921637
0c7a80b63187427d2a17541a,generalized_translation,bounce,profile_map,28,True,True,-31.428225555489156,360,0.017940764813610184,False,0.0008078577909882742
